jobCategories_id,jobCategories,techStacks,responsibility,qualifications,preferredRequirements
15,SW/솔루션,"['JavaScript', 'Node.js', 'C++', 'ExpressJS', 'Java', 'Qt', 'C#', 'PostgreSQL']","• Dental Imaging System(On-premise/Cloud) SRS 작성
• 요구사항 분석/정의
• 기술검토 항목 도출 및 대응방안 검토
• DB Schema / Rest API 설계
• Interface 설계
• Dental Imaging System(On-premise/Cloud) 개발","• 요구사항 분석 및 설계, 구현 능력
• 최소 5년 이상의 응용프로그램 설계/개발(C++, Qt, C#, Java 등) 경험
• Database 활용 기술
• 여러 업무 관계자와의 원활한 Communication 경험
• 분석/논리적 사고력, 꼼꼼한 계획을 기반으로 한 업무 추진력
• 개발문서 작성 경험","• Technical Leading 경험
• Dental/Medical SW 개발 경험 (Dental 장비 연동 경험)
• Cloud Platform(AWS, Azure, GCP 등) 활용 경험
• SVN/Git 등의 버전 관리 시스템 활용 경험
• 컴퓨터 공학 전공자"
19,빅데이터 엔지니어,"['AI/인공지능', 'MachineLearning', 'TensorFlow', 'Python', 'QA', 'PyTorch']","• TTS model 에 대한 다각도에 걸친 체계적인 QA test 수행 (음색, 발음 정확도 등)
• QA test 과정을 통해 유저 만족도를 극대화하는 최선의 모델 선정 및 문제 분석
• Generative AI 모델에 대한 체계적인 성능 평가 방식 개발 및 감독","• 책임감과 꼼꼼함을 지니신 분
• 영어/한국어 음성 신호평가(자연스러움, 음색 등)를 위한 영어/한국어 커뮤니케이션 역량이 있으신 분
• Python 언어를 사용한 개발에 익숙하신 분
• 머신러닝/딥러닝에 대한 기본적인 이해가 있으신 분","• QA 엔지니어링 경험이 있으신 분
• 음성 데이터 처리 경험이 있으신 분
• Pytorch, Tensorflow 등의 프레임워크를 활용한 딥러닝 모델 구현 경험이 있으신 분
• 하나 이상의 Generative AI product 를 활용한 경험이 있으신 분

[이런 분을 선호합니다.]
• 솔직하신 분!
• 항상 자기계발에 진심이신 분!
• 본인 업무에 애착이 있고 잘해야만 하는 분!
• 놀 땐 놀고 일할 땐 일할 줄 아시는 분!
• 효율성과 프로세스를 고민하고 또 고민하시는 분!
• 자신의 성장을 위해 노력하시는 분!
• 매사에 주도적이고, 책임감이 강하신 분!"
19,빅데이터 엔지니어,"['R', 'REST API', 'Google Tag Manager', 'MachineLearning', 'DeepLearning', 'Google Analytics', 'Python', 'SQL']","• 다른 챕터들과 미리디 서비스들을 개발/유지보수하며 고객의 문제를 해결하고 가치를 제공하고 있어요
• 미리디의 프로젝트와 목표 등에 있어서 발생하는 다양한 팀들의 데이터 이슈를 해결하고 커뮤니케이션해요
• 중요 지표를 정리하거나 개발하고 실험, 분석, 모니터링해요.
• 구글태그매니저와 미리디통합로그서비스를 통해 유아이 레벨부터 퍼널까지 디테일하게 설계, 추적해요
• 통합로그디비, ga4(빅쿼리), 개별서비스디비, api 등 를 통해 실시간급 로우데이터를 액세스하고 정제, 가공하여 분석에 활용해요
• 태블로, 구글데이터스튜디오, 구글스프레드시트, ga4를 통해 다양한 리포트와 대시보드를 기획, 제작, 공유해요
• 다양한 데이터들의 자동화 작업과 관련 인프라를 관리하고 디벨롭해요
• 다양한 온라인광고플랫폼의 기능과 관련 데이터, api를 이해하고 자동리포트작성, 자동화스크립트작성, 운영과 설정을 해요
• 성장을 위해 도서, 세미나, 영상(인강), 아티클들을 지원받을 수 있어요","• 데이터 분석 분야에서 6년 이상의 경험
• 팀 리딩 경험이 있으신 분
• SQL을 활용한 데이터처리에 매우 능숙하신 분
• Tableau, Google Data Studio 등 리포트와 대시보드 작성 경험
• Google Sheets, MS Excel 등 에 능숙하신 분
• Python, R 등 데이터분석 관련 코드 작성 경험","• 통계학 전공자 또는 통계학 관련 지식 보유
• 팀 리딩 경험이 있으신 분 (4인이상 팀원의 실무매니징과 휴먼매니징)
• 데이터기반 인사이트를 바탕으로 실제 지표상승과 하락, 문제해결과 실패를 경험해보신 분
• 온라인광고 플랫폼을 설정하고 운영해본 경험
• 데이터 분석을 위한 통계 / 딥러닝 / 머신러닝 모델링 경험"
4,안드로이드 개발자,"['Slack', 'Kotlin', 'Android OS', 'Confluence', 'Jira', 'GitHub']","• Android APP 서비스의 분석 및 개발, 테스트 및 지속적인 최적화를 담당합니다.
• UX 디자이너와 협업하여 화면 디자인 및 프로세스에 대해 논의합니다.
• APP 개발 워크플로를 연구하고 개선합니다.","• Kotlin기반 개발 가능하신 분
• Android 앱 개발과 유지보수, 배포를 주도적으로 맡아 진행 경험이 있으신 분
• 네이티브 지원 기능에 대한 이해가 높으신 분
• 개발 목표에 대한 책임감이 있으신 분
• 주도적으로 문제를 해결하고 책임감 있으신 분
• 코드 퀄리티에 지속적으로 고민하시는 분
• 새로운 기술에 대한 관심과 습득/사용에 능동적인 분
• 코드리뷰 경험 있으신 분","• Modular Architecture 대한 이해
• MVVM 사용하여 프로젝트 진행 경험
• Compose사용한 프로젝트 경험
• Gradle에 대한 이해
• CI/CD 경험
• 단위 테스트 경험
• 컴퓨터 공학 전공
• 협업 및 업무 관리 경험"
16,IOS 개발자,"['Slack', 'iOS', 'Swift', 'Confluence', 'Jira', 'GitHub']","• iOS APP 서비스의 분석 및 개발, 테스트 및 지속적인 최적화를 담당합니다.
• UX 디자이너와 협업하여 화면 디자인 및 프로세스에 대해 논의합니다.
• APP 개발 워크플로를 연구하고 개선합니다.","• Swift로 개발 가능하신 분
• iOS 앱 개발과 유지보수, 배포 경험이 5년 이상 진행 경험 있으신 분
• 네이티브 지원 기능에 대한 이해가 높으신 분
• 개발 목표에 대한 책임감이 있으신 분
• 주도적으로 문제를 해결하고 책임감 있으신 분
• 코드 퀄리티에 지속적으로 고민하시는 분
• 새로운 기술에 대한 관심과 습득/사용에 능동적인 분
• 코드리뷰 경험 있으신 분","• Modular Architecture 대한 이해
• MVVM 사용하여 프로젝트 진행 경험
• SPM 대한 이해
• CI/CD 경험
• 단위 테스트 경험
• 컴퓨터 공학 전공"
2,프론트엔드 개발자,"['JavaScript', 'HTML5', 'CSS 3', 'AngularJS']","• 엠투클라우드 서비스의 다양한 웹서비스 개발 
• 운영중인 서비스 유지/보수/관리","• 웹 애플리케이션 개발, 운영 경험자로서 실무 3년차 이상 또는 그에 준하는 역량을 보유한 분
• HTML(5), CSS, javascript(최소 ES5), Angular 기본 지식 보유
• 해외여행 및 근무에 결격사유가 없는 자","• NCP, AWS, Git & Github, HTTP, RESTful API 클라이언트 개발 경험
• Typescript 개발 및 운영 경험이 있으신 분
• 단위 테스트, 통합 테스트 자동화 및 배포 자동화 경험이 있으신 분
• 웹사이트 성능 측정 및 최적화 경험이 있으신 분
• 백엔드 서비스 개발 경험 및 Database에 대한 이해가 있으신 분
• 데이터 시각화 관련 모듈(charts 등)에 대한 경험이 있으신 분"
1,서버/백엔드 개발자,"['JavaScript', 'MySQL', 'REST API', 'Node.js', 'AWS', 'Sequelize']","• 마케팅 매체 운영 / 분석 플랫폼 외주 개발중(사내 개발팀 4명 / 외주 개발팀 5명)
• 내부 API 서버 개발(back과 front 분리)
• Third-Party 서버에서 여러 외부 API 연동(네이버 ad, 구글 ad, 메타 ad, 틱톡 ad, 카카오 ad)
• Mysql 암호화 및 최적화
• oauth2 활용하여 인증처리
• node.js / express.js / Sequelize ORM 사용","• node.js 경력 2년 이상
• 총 백엔드 개발경력 만 3년 이상(신입 불가)","• 마케팅 지식 보유
• 이커머스 플랫폼 경력
• 성능에 관심이 많은 분
• 엘라스틱서치 고도화 가능하신 분"
20,VR/AR/3D,"['OpenGL', 'AI/인공지능', 'three.js', 'WebGL']","• Web 기반 2D/3D 지도 프론트엔드 서비스 개발
• 공간 데이터 기반 2D/3D 지도 제작 알고리즘 및 도구 연구/개발
• 공간 데이터 처리 및 데이터 2D/3D 가시화(Visualization) 시스템 개발
• AI 기술 연동 인터랙티브 시각화 컨텐츠 개발","• Computer Graphics, 3D Geometry 이론에 대한 전반적인 이해
• 웹 기반 컴퓨터 그래픽스(WebGL, Three.js) 관련 프로젝트 개발 경험이 있는 분
• 2D/3D Canvas, SVG 등에 대한 이해 및 개발 경험","• 장애인
• Three.js, Pixi, A-frame 등 3D WebGL 기반 그래픽스 라이브러리 활용 능력
• OpenGL, OpenGLES, WebGL 등 코어 기술에 대한 이해
• 유니티, 언리얼엔진 등 그래픽 엔진에 대한 이해
• GLSL, HLSL 등 고수준 Shader Language에 대한 경험
• 프론트엔드 개발(JavaScript) 및 프레임워크(React,Vue 등)에 대한 이해
• AI 기반 컨텐츠 제작 프로젝트 경험자
• 테스트 및 배포 자동화 경험"
8,인공지능/머신러닝,"['Git', 'AI/인공지능', 'C++', 'TensorFlow', 'C++ Builder', 'Python', 'Embedded', 'Confluence', 'PyTorch', 'Jira']","• Object detection / Face recognition / Gesture recognition / Depth estimation 등 perception 모델 deployment
• Model compression (Quantization / Knowledge distillation / Pruning) 기법을 적용하고 안정적인 추론 모델 개발
• Model inference를 위한 end-to-end 구성
• Constrained resource 환경에서 모델 Inference 및 Deployment
• 최신 paper 리뷰 및 성능 향상을 위한 구현","• 전공분야 학석사 이상 또는 그에 상응하는 경력의 소지자 
(전공분야: Artificial Intelligence / Computer Science / Data Science / Statistics / Electric Engineering 등)
• Facial Emotion Recognition / Gesture Estimation / Pose Estimation / Instance Segmentation / Object Tracking 중 한가지 이상의 Computer Vision 프로젝트 수행 경험
• 논문이나 기술관련 문서를 이해하고 이를 바탕으로 모델 구현이 가능한 능력
• PyTorch, Tensorflow, Keras, MXNet 등 Deep Learning Framework 활용 능력
• Git을 통한 프로젝트 협업 능력
• 전문연구요원 지원 불가","• 관련 전공분야 박사 이상 또는 5년 이상의 실무 경력 (연봉 반영)
• Model Compression (Quantization / Pruning / Knowledge Distillation) 및 Optimization 경험
• Multi-task Learning / Multi-modal Modeling 프로젝트 수행 경험
• Noise Robust / Occlusion / Data Imbalanced Problem에 관한 이해도와 극복 경험
• 제한된 리소스 환경에서 모델 Inference 및 Deployment 경험
• 국제학술대회 (CVPR, ICCV, ECCV, AAAI, IJCAI, ICML, IROS) 등에 논문을 게재한 경험
• Kalman Filter, Graph Optimization 등을 활용한 멀티 센서 퓨전 기술 구현 경험
• ROS, ROS2를 사용한 기술 개발 경험
• OS에 대한 높은 이해
• Slack, Confluence, JIRA 등 협업 툴 경험
• Jenkins, Docker, AWS 등등 전반적인 협업과 배포 경험
• 수학적 사고와 통계, 최적화 등 수학 이론에 대한 높은 이해
• 영어 능통자"
1,서버/백엔드 개발자,"['Spring Framework', 'JavaScript', 'React', 'Spring Data JPA', 'Java', 'AWS', 'Firebase Realtime Database', 'AWS Lambda', 'MariaDB']","• 현재 런칭 된 앱(Fitor)의 유지보수 및 추가되는 기능 개발
- 실시간 매칭, 1:1 화상, 메시징, 예약 시스템 등 API 및 배치 기능 개발

• Back office 개발 (React)
• 새로운 기술을 자유롭게 제시하고, 함께 적용해볼 수 있는 기회

• java, springframework, AWS 사용
• GitHub를 통해 branch관리
• 배포는 jenkins 사용
• Slack을 통한 자유로운 의견 공유
• Jira, Confluence를 활용히여 효율적인 업무 수행","• Backend 개발 경력 5년 이상 혹은 그에 준하는 실력을 보유한 분
• java, springframework를 이해하고 능숙하게 개발 가능하신 분
• 서비스 지향적 사고와 유연한 커뮤니케이션 역량을 보유하신 분
• 끊임없이 학습하고 동료에게 아낌없이 공유하는 자세와 열정을 갖고 있으신 분
• 팀원들과 함께 소통하며 개발하시는 분
• 제품의 품질과 안정성에 높은 책임감을 가지고 주도적이고 지속적으로 개선 하려고 하시는 분 ","• WebRTC를 이용한 서비스 개발 경험
• 네트워크/앱 보안에 대한 이해도가 높은 분
• JAVA 최신 개발 동향에 관심이 많은 분
• 팀원과 협업 개발 및 코드 리뷰 경험
• 컨테이너 기반 CI/CD 환경 경험이 있으신 분
• 테스트 코드 작성 경험
• 스타트업 경험
• 운동을 좋아하시는 분"
10,정보보안 담당자,"['Firewall', 'Linux', 'VPN', 'Network']","• 사내 인프라 운영관리
• 서버 (리눅스, Windows) / 네트워크 인프라 운영 관리
• 가상화 서버 및 백업 시스템 운영관리
• 방화벽/스위치/VPN 등 운영관리
• 보안장비 운영관리
• 사내 솔루션(그룹웨어/메일) 운영관리
• 시스템 모니터링 및 장애대응","• 경력 : 5년 이상
• 가상화기반 시스템, 리눅스 기반 서버 운영/관리 경험자
• Web, WAS, 네트워크(L2/L3/L4) 및 보안장비(F/W, WAF, IPS) 운영/관리 경험자","• 동종업계 또는 기업체 인프라운영 경험자
• OS (리눅스/Windows), 네트워크, DB관련 자격증 보유자
• 클라우드 기반 시템 구축/운영 경험자"
7,DBA,"['MySQL', 'NoSql', 'AWS']","• 인프라 DBA / DA
• 데이터 아키텍쳐 수립 및 구축/운영(DB/NOSQL) 
• 데이터베이스 모델링, 품질, 표준 운영/관리
• DB성능 관리(쿼리, 인스턴스 튜닝 등)","• DBA / DA 경력 3년 이상 경력자
• 대용량 트랜젝션 처리를 위한 DB설계, 구축, 운영 경험 보유
• MySQL 및 NoSQL 운영 및 관리 경험 보유자
• 정보통신, 전자/전기, 컴퓨터 등 전산관련 학사 이상인자
• 정보처리기사 자격증 소지자","• AWS 등 클라우드 기반 인프라 운영 경력자
• 문제 해결 및 성능 최적화를 위한 역량을 갖추신 분
• 보안과 규정에 대한 이해도가 높으신 분
• 대용량 서비스 개발 및 운영 경험자"
19,빅데이터 엔지니어,"['Logstash', 'Kibana', 'Node.js', 'AWS CloudHSM', 'AWS Shell', 'TensorFlow', 'Python', 'Docker', 'PyTorch', 'Elasticsearch', 'K8S']","• 유튜브, 트위치, 인스타그램, 틱톡 등의 플랫폼 데이터 수집기 구현
• 데이터 파이프라인 유지 보수
• 로그 수집 및 처리
• 서비스에 필요한 데이터 모델링, 가공/처리
• 머신러닝/인공지능 모델 및 개발 (NLP, 이미지 분류, NER)","[자격 요건]
• 학력: 대졸 이상
• 경력 대환영

[기술 스택]
• shell script
• node.js, python
• elasticsearch, logstash, kibana
• k8s, docker
• aws cloud,
• pytorch, tensorflow","아래 사항 중 하나라도 해당한다면 우대! 합니다.

• AWS, GCP 클라우드 환경에 대한 이해와 경험 보유한 분
• Docker, Kubernetes 관련 경험 보유한 분
• Git 관련 경험 보유한 분 (Github, Bitbucket 등)
• ELK stack 경험 보유한 분 (Elastic Search, Logstash, Kibana)
• Google Analytics, Google Tag Manager, Data Studio 데이터분석 경험 보유한 분
• Mongodb Nosql DB 경험 보유한 분
• ecommerce 플랫폼, 광고트래킹 플랫폼 구축/운영 경험 보유한 분
• Web Frontend Javascript Libarary (React.js, Angular.js, Vue.js 등) 경험 보유한 분
• 상용서비스를 처음부터 개발하여 운영한 경험 보유한 분
• 본인의 기술경험을 타인에게 잘 설명할 수 있는 분"
2,프론트엔드 개발자,"['JavaScript', 'Amazon EC2', 'React', 'AWS', 'React Native', 'AWS Lambda', 'PostgreSQL', 'Next.js']","• KB인증중고차 총괄 운영(진단 및 판매 업무 대행 / 김포. 대구 직영매장 운영)
• KB진단중고차 진단 및 영상제작 대행
• KB차차차 플랫폼 영상촬영, 자동편집 시스템 개발 및 운영 총괄
• KB차차차 LABS 오프라인 가상 전시장 시스템 개발 및 운영 총괄

• 중고차 비대면 Live 영상상담 서비스
• 대규모 영상 처리 시스템 및 스트리밍 개발
• 실거래가 기반의 내차 팔기 서비스 개발","• javascript 경력 1년 이상인 분
• react 경험 있으신 분
• react native 경험 있으신 분
• git에 대한 이해가 있으신 분","• 사이드 프로젝트로 App, Web 운영 중이거나 하셨던 분
• 영상 스트리밍 또는 webRTC 서비스 경험이 있으신 분
• python backend 경험 있으신분
• aws에 대해 이해가 있으신 분"
